subjectID,platformID,taskID,video_duration,distracting_gazes_count,percentage_of_distracting_gazes,amount_of_seconds_distracted,mean,std,min,25%,50%,75%,max,time_on_task,average_game_error
05,CP,T1,48.96666666666667,70,0.308,15.081733333333334,0.6638895105513954,0.4308682739824777,0.000834,0.024312,0.961294,0.990617,0.997502,48.86666666666667,29.028904389919106
05,CP,T2,12.733333333333333,14,0.233,2.9668666666666668,0.7113749869109948,0.38886565547581803,0.001486,0.601741,0.9413009999999999,0.9873735,0.99666,12.7,23.82590041280179
05,CP,T3,74.03333333333333,101,0.402,29.761400000000002,0.5854863390364701,0.45726969567500897,0.001194,0.017996,0.92964,0.98719,0.998617,73.86666666666666,42.39346384611827
05,NO,T0,45.06666666666667,6,0.003,0.13520000000000001,0.958632348372781,0.07317765900232555,0.349685,0.967847,0.987521,0.99228775,0.997053,45,17.434563127911634
06,AA,T1,34.56666666666667,33,0.635,21.949833333333334,0.351853174541948,0.4030664237656363,0.000223,0.022937,0.070049,0.869243,0.97962,34.5,45.210838529342396
06,AA,T2,15.8,15,0.489,7.7262,0.45372273417721515,0.4347994390391483,0.000268,0.0044275,0.6026055,0.88789125,0.980639,15.8,30.376251920032523
06,AA,T3,13.666666666666666,14,0.412,5.6306666666666665,0.5803345219512196,0.4395800705946538,0.000669,0.0335185,0.9190685000000001,0.960792,0.985104,13.633333333333333,35.80379805255096
06,CP,T1,49.4,49,0.615,30.380999999999997,0.37449635357624833,0.43991597291426887,0.000146,0.0076935,0.0374385,0.93232975,0.992615,49.333333333333336,54.415103669554405
06,CP,T2,17.6,24,0.527,9.275200000000002,0.4437658257575758,0.44980503997836163,0.000325,0.00537525,0.13758599999999999,0.939043,0.985094,17.566666666666666,30.584213630170286
06,CP,T3,44.96666666666667,59,0.544,24.46186666666667,0.4409059962935508,0.446924118898882,0.000329,0.017325,0.082845,0.94283,0.993704,44.86666666666667,55.10021840064627
06,NO,T0,45.06666666666667,44,0.105,4.732,0.8115302684911242,0.19468958019804683,0.036759,0.7862125,0.891891,0.93588925,0.981071,45,16.515431326660455
07,AA,T1,53.53333333333333,82,0.453,24.250600000000002,0.5348691376089664,0.4528750621897696,0.000261,0.02260475,0.741642,0.985498,0.99823,53.4,38.39193967142551
07,AA,T2,15.166666666666666,19,0.475,7.204166666666667,0.5162201362637363,0.47109756462299507,0.00043,0.0058154999999999995,0.765339,0.9900205,0.996894,15.133333333333333,28.227130416289157
07,AA,T3,27.266666666666666,40,0.512,13.960533333333334,0.4743689413202934,0.46018695813660354,0.000495,0.01134675,0.3435025,0.9686245,0.998362,27.233333333333334,31.736193655665833
07,CP,T1,37.766666666666666,55,0.687,25.945700000000002,0.31514255075022063,0.43290077776740904,0.000367,0.009594,0.022654,0.940476,0.997365,37.7,37.0820935226758
07,CP,T2,9.8,18,0.425,4.165,0.5704984353741497,0.447048492366493,0.000646,0.007837,0.8779170000000001,0.9835382500000001,0.997939,9.8,20.914019548000518
07,CP,T3,38.43333333333333,62,0.637,24.482033333333334,0.3581757328707719,0.4409729046788895,0.000318,0.008608,0.025597,0.955335,0.998019,38.36666666666667,32.979351156041574
07,NO,T0,45.06666666666667,0,0.0,0.0,0.9351132196745563,0.07128014923552739,0.55259,0.92415225,0.9618865,0.9751015000000001,0.994652,45,16.7487578952685
08,AA,T1,65.66666666666667,72,0.779,51.154333333333334,0.2615110289340102,0.3647176991729879,0.000503,0.00945325,0.0317575,0.426276,0.998878,65.53333333333333,120.83747400866665
08,AA,T2,13.9,40,0.53,7.367000000000001,0.48125641726618706,0.4152233890922782,0.00081,0.030232,0.448084,0.989374,0.998689,13.866666666666667,38.3728870385873
08,AA,T3,23.333333333333332,22,0.683,15.936666666666667,0.31637798142857143,0.4477660527961343,0.000274,0.00311075,0.0100225,0.972495,0.998701,23.233333333333334,95.45274468786587
08,CP,T1,48.266666666666666,58,0.553,26.691466666666667,0.4755770511049724,0.4318891409289268,0.003704,0.052964250000000004,0.243531,0.9864115,0.998552,48.13333333333333,95.78643657786391
08,CP,T2,23.5,21,0.772,18.142,0.2554012609929078,0.39145318512984556,0.000359,0.014266,0.035323,0.242467,0.998413,23.433333333333334,105.77442326395172
08,CP,T3,99.0,88,0.739,73.161,0.2998827333333334,0.40194614314101945,7.9e-05,0.006946249999999999,0.045102500000000004,0.66897525,0.999019,98.8,135.33930897513235
08,NO,T0,45.1,2,0.001,0.0451,0.9713310251293422,0.06858693090805962,0.374578,0.988865,0.997395,0.998291,0.998938,45,23.082959521133123
09,AA,T1,60.666666666666664,71,0.614,37.24933333333333,0.4225897637362638,0.36992570303462774,0.008768,0.0865255,0.249334,0.88096875,0.980239,60.56666666666667,89.24512745279516
09,AA,T2,25.1,14,0.244,6.1244,0.7108184754316069,0.37959154811791873,0.001019,0.636949,0.910297,0.962788,0.98943,25.066666666666666,35.0508677369054
09,AA,T3,16.3,10,0.342,5.5746,0.6258533619631901,0.41620515280188697,0.003832,0.055114,0.902221,0.960296,0.984982,16.233333333333334,61.76849071738327
09,CP,T1,95.23333333333333,158,0.744,70.8536,0.33672842737136854,0.31435249602627724,0.0,0.090137,0.208191,0.507258,0.991002,95,110.71768258053757
09,CP,T2,22.466666666666665,16,0.72,16.176,0.3422706587537092,0.35698967582550944,0.007782,0.0874095,0.14634750000000002,0.76698475,0.982573,22.4,66.57147766920085
09,CP,T3,18.3,18,0.393,7.1919,0.6135218069216758,0.38388181309522423,0.0,0.18305,0.87469,0.952295,0.984724,18.3,37.62045685311703
09,NO,T0,45.13333333333333,11,0.134,6.047866666666667,0.7513687023633678,0.22471462762523986,0.082473,0.66654525,0.8366325,0.90456175,0.98233,45,23.32164292134952
10,AA,T1,55.06666666666667,16,0.812,44.71413333333333,0.16593705024213076,0.3389898734692269,8e-06,9.3e-05,0.00019250000000000002,0.0006175,0.989853,54.96666666666667,162.57233650224032
10,AA,T2,12.1,15,0.656,7.937600000000001,0.30783697245179065,0.37177335687797697,8e-06,0.0001165,0.00093,0.6961714999999999,0.971085,12.066666666666666,103.6868504965383
10,AA,T3,11.866666666666667,10,0.573,6.799599999999999,0.3923485337078652,0.3869374624015973,1.3e-05,0.00030725,0.230665,0.81459025,0.960875,11.833333333333334,55.494010225686814
10,CP,T1,168.9,77,0.861,145.4229,0.13103390309848037,0.3086453383019768,0.0,4e-06,3.2e-05,0.000188,0.99192,168.63333333333333,243.17409407244125
10,CP,T2,14.3,17,0.534,7.6362000000000005,0.42663805594405596,0.44891629342762857,5e-06,0.00011,0.079372,0.94667,0.994133,14.266666666666667,129.0508808257439
10,CP,T3,62.7,58,0.726,45.5202,0.2514377671451356,0.3903143554407847,1e-06,3.5e-05,0.000121,0.664597,0.983941,62.53333333333333,218.47378905561095
10,NO,T0,45.03333333333333,26,0.111,4.9987,0.8673684744633604,0.2169370606482951,0.005663,0.8974705000000001,0.97009,0.9805809999999999,0.994505,45,32.97504925919593
11,AA,T1,29.566666666666666,24,0.18,5.322,0.7705167294250282,0.3564259624011277,7.7e-05,0.7623854999999999,0.965179,0.989725,0.997486,29.466666666666665,62.844174745298695
11,AA,T2,30.333333333333332,26,0.281,8.523666666666667,0.6833475604395605,0.4203730740645476,7.2e-05,0.046087,0.9558245000000001,0.9822612500000001,0.99665,30.3,83.9993668544678
11,AA,T3,36.96666666666667,36,0.227,8.391433333333334,0.7414838187556356,0.3877558852254751,0.000131,0.723008,0.963625,0.982107,0.993421,36.9,61.209884247788416
11,CP,T1,142.03333333333333,144,0.544,77.26613333333334,0.42126177517014785,0.44256572176836945,8.2e-05,0.000997,0.062434,0.918897,0.992831,141.8,109.84657844556003
11,CP,T2,14.233333333333333,32,0.494,7.031266666666666,0.4287725737704918,0.3642652084231033,9.9e-05,0.0027725,0.504558,0.7757445000000001,0.955808,14.2,72.87618786520109
11,CP,T3,17.7,24,0.318,5.6286000000000005,0.641667856873823,0.4176113884929363,9.9e-05,0.014152999999999999,0.91144,0.9683360000000001,0.994173,17.666666666666668,60.83028578206048
11,NO,T0,45.06666666666667,32,0.056,2.5237333333333334,0.9046875843195266,0.19642608224465896,0.001845,0.9278872499999999,0.9769410000000001,0.9865507499999999,0.996715,45,41.958088679942136
12,AA,T1,81.63333333333334,77,0.469,38.28603333333333,0.5023751363821968,0.46740565618409685,6e-06,0.000873,0.722689,0.977666,0.998781,81.5,54.19641437624312
12,AA,T2,22.5,8,0.209,4.7025,0.7676374281481482,0.3901823238430841,1e-05,0.8962695,0.971899,0.9876145000000001,0.997723,22.433333333333334,33.78338592134042
12,AA,T3,18.366666666666667,6,0.12,2.204,0.8518625753176043,0.3098646882846845,6e-06,0.9332475,0.97856,0.9895735,0.997175,18.333333333333332,32.64381777370319
12,CP,T1,60.9,22,0.28,17.052000000000003,0.6891486945812807,0.4292694072007262,9e-06,0.002702,0.95951,0.9863655,0.997978,60.733333333333334,41.51786275346866
12,CP,T2,37.233333333333334,18,0.331,12.324233333333334,0.6434597197851387,0.4488697323688479,1e-05,0.001876,0.95544,0.973552,0.993797,37.13333333333333,52.13970006673323
12,CP,T3,54.53333333333333,56,0.342,18.6504,0.6191978838630806,0.4383507627763914,5e-06,0.0011745,0.9133695,0.975124,0.997595,54.4,54.23761843020209
12,NO,T0,45.06666666666667,0,0.0,0.0,0.9693702684911242,0.03219950545888624,0.590493,0.9585312500000001,0.980599,0.9903425,0.995709,45,16.49222944059875
13,AA,T1,59.166666666666664,59,0.646,38.22166666666667,0.350219730140845,0.4453279130780511,0.000117,0.0023325,0.013356,0.9640445,0.99815,59,40.55193548770653
13,AA,T2,24.3,26,0.739,17.9577,0.2674718134430727,0.41490036235101846,0.000954,0.00394,0.008029,0.671586,0.997765,24.266666666666666,31.468998018782028
13,AA,T3,16.233333333333334,5,0.099,1.6071,0.8608847125256673,0.2888360943269751,0.001433,0.9349620000000001,0.98739,0.9933845,0.996554,16.233333333333334,18.72345261930309
13,CP,T1,33.9,38,0.552,18.7128,0.43968190265486723,0.4541091701298151,0.000195,0.005625,0.166901,0.977219,0.997348,33.833333333333336,37.276199839515
13,CP,T2,15.4,26,0.39,6.006,0.5936316969696971,0.44826061087919217,0.001716,0.019050749999999998,0.9187525,0.99055525,0.996672,15.4,23.70729285302745
13,CP,T3,21.566666666666666,18,0.304,6.556266666666667,0.6654112055641422,0.42125669513452124,0.002555,0.050238000000000005,0.938693,0.984832,0.997003,21.566666666666666,16.918066730170978
13,NO,T0,45.13333333333333,0,0.0,0.0,0.9746822769571639,0.04523339528838133,0.639223,0.977492,0.992813,0.9956625,0.997884,45,13.249904243427626
